央视频道,#genre#
深圳卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227419/index.m3u8
江苏卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227421/index.m3u8
海南卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227917/index.m3u8
四川卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227417/index.m3u8
三沙卫视[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227943/index.m3u8
海南卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227944/index.m3u8
山东教育[785*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227945/index.m3u8
海南卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227946/index.m3u8
海南卫视[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227947/index.m3u8

金鹰纪实[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227371/index.m3u8


卡酷少儿[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227189/index.m3u8
金鹰卡通[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227149/index.m3u8
纪实人文[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227349/index.m3u8











四川频道,#genre#

四川乡村[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227403/index.m3u8
SCTV-7[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227405/index.m3u8
四川星空购物[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227407/index.m3u8
四川影视文艺[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227409/index.m3u8
四川新闻[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227411/index.m3u8
四川文化旅游[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227413/index.m3u8
四川经济[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227415/index.m3u8
四川科教[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227936/index.m3u8
峨眉电影[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227942/index.m3u8
峨眉电影[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227928/index.m3u8

CDTV-1[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227495/index.m3u8
CDTV-3[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227497/index.m3u8
CDTV5[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227587/index.m3u8
CDTV4[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227593/index.m3u8
CDTV6[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227597/index.m3u8
CDTV8购物[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227920/index.m3u8

大爱旅游[1280*720],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227503/index.m3u8
大爱生活[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227505/index.m3u8
爱看熊猫TV[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227507/index.m3u8

精彩连播[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227511/index.m3u8

精彩连播[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227519/index.m3u8
麻辣体育[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227811/index.m3u8

财富天下[785*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227921/index.m3u8

南充频道,#genre#
南充综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227805/index.m3u8
南充综合,https://nczbpull.ncntv.com.cn:443/nctv/2004.m3u8
南充公共,https://nczbpull.ncntv.com.cn:443/nctv/2005.m3u8
南充科教,https://nczbpull.ncntv.com.cn:443/nctv/2006.m3u8


蓬安综合,http://palive.patv123.com:8091/live/xwpd_800K.m3u8
南部,http://pili-live-rtmp.148.i2863.com/i2863-148/live_148_811389.m3u8
地方,#genre#
综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227930/index.m3u8
内江综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227932/index.m3u8
绵阳新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227521/index.m3u8
攀枝花新闻综合[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227527/index.m3u8
泸州新闻综合[785*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227529/index.m3u8
广元综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227531/index.m3u8
遂宁综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227533/index.m3u8
乐山新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227537/index.m3u8
眉山综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227539/index.m3u8
叙州新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227541/index.m3u8
