root@MacBook:~# launchctl list
PID	Status	Label
-	0	com.apple.AppleQEMUGuestAgent
-	0	com.apple.security.authtrampoline
-	0	com.apple.rpcbind
120	0	com.dosdude1.apfshelperd
-	78	com.paragon.extfs9.refresh
123	0	com.apple.coreduetd
-	0	com.cocoatech.pathfinder.SMFHelper
125	0	Adobe_Genuine_Software_Integrity_Service
-	0	com.apple.DesktopServicesHelper
-	0	com.apple.ucupdate.plist
-	0	com.apple.sysdiagnose_helper
-	0	com.apple.securechanneld
-	0	com.apple.ManagedClient.enroll
-	0	com.apple.timezoneupdates.tzd
821	0	com.apple.AssetCache.builtin
-	0	com.apple.multiversed
-	0	com.apple.siri.acousticsignature
274	-11	com.apple.locationd
772	0	com.apple.rtcreportingd
-	0	com.oracle.java.Helper-Tool
-	0	com.apple.smbd
-	0	com.cocoatech.PathFinder.SMFHelper7
-	0	com.apple.Kerberos.kcm
-	0	com.apple.coreservices.sharedfilelistd
-	0	com.apple.efilogin-helper
-	0	com.apple.loginwindow
-	0	com.apple.ReportMemoryException
273	0	com.apple.sysextd
-	0	com.apple.cmio.iOSScreenCaptureAssistant
-	0	com.apple.rapportd
165	0	com.apple.notifyd
-	0	com.apple.managedconfiguration.teslad
-	0	com.apple.wifiFirmwareLoader
92	0	com.apple.fseventsd
-	0	com.apple.Kerberos.digest-service
-	0	com.apple.systempreferences.cacheAssistant
-	0	com.apple.automountd
-	0	com.apple.applefileutil
263	0	com.vix.cron
-	0	com.apple.thermald
409	0	com.apple.FileCoordination
-	0	com.apple.eapolcfg_auth
-	0	com.apple.audio.RemoteProcessingBlockRegistrar
230	0	com.apple.audio.AudioComponentRegistrar
-	0	com.apple.AssetCacheLocatorService
-	0	com.apple.InstallerDiagnostics.installerdiagd
761	0	com.apple.softwareupdated
-	0	com.apple.systemadministration.writeconfig
-	0	com.apple.MobileAccessoryUpdater
-	0	com.apple.diskmanagementstartup
-	0	com.apple.signpost.signpost_reporter
-	0	com.apple.postfix.master
-	0	com.apple.emond.aslmanager
-	0	com.apple.ckdiscretionaryd
492	0	com.apple.SubmitDiagInfo
-	0	com.microsoft.office.licensingV2.helper
-	-9	com.apple.bootinstalld
-	0	com.apple.mbsystemadministration
124	0	com.philandro.anydesk.service
-	0	com.apple.cmio.AppleCameraAssistant
-	0	com.apple.msrpc.mdssvc
-	0	com.apple.dpd
-	0	com.apple.security.agent.login.00000000-0000-0000-0000-0000000186A6
-	0	com.apple.corestorage.corestoragehelperd
275	0	com.apple.ReportCrash.Root
